staff_id,staff_name,role,store_id,hire_date,hours_per_week,certification_level
EMP-00001,Allison Hill,Pharmacist,ST-0001,2020-03-03,30,Senior
EMP-00002,Brian Yang,Pharmacy Technician,ST-0001,2025-08-26,40,Mid
EMP-00003,Javier Johnson,Pharmacy Technician,ST-0001,2020-02-04,25,Junior
EMP-00004,Lance Hoffman,Pharmacist,ST-0002,2025-08-24,20,Senior
EMP-00005,Jerry Ramirez,Pharmacist,ST-0002,2016-06-26,35,Mid
EMP-00006,Caitlin Henderson,Pharmacist,ST-0002,2021-02-06,20,Senior
EMP-00007,Tyler Rogers,Pharmacy Technician,ST-0002,2017-12-14,40,Junior
EMP-00008,Ian Cooper,Pharmacy Technician,ST-0002,2020-11-15,25,Junior
EMP-00009,Monica Herrera,Pharmacy Technician,ST-0002,2022-10-25,30,Mid
EMP-00010,Edward Fuller,Pharmacist,ST-0003,2022-07-12,30,Junior
EMP-00011,Michele Williams,Pharmacy Technician,ST-0003,2020-04-02,35,Junior
EMP-00012,Victoria Wyatt,Pharmacy Technician,ST-0003,2018-02-03,30,Mid
EMP-00013,Jesse Flowers,Pharmacist,ST-0004,2019-02-21,35,Mid
EMP-00014,Daniel Adams,Pharmacy Technician,ST-0004,2017-08-03,25,Mid
EMP-00015,Carolyn Daniel,Pharmacy Technician,ST-0004,2019-02-26,35,Junior
EMP-00016,Devin Schaefer,Pharmacy Technician,ST-0004,2025-11-06,35,Junior
EMP-00017,Frederick Tate,Pharmacy Technician,ST-0004,2017-04-29,20,Senior
EMP-00018,Andrew Stewart,Pharmacist,ST-0005,2020-12-05,40,Senior
EMP-00019,Thomas Bradley,Pharmacy Technician,ST-0005,2021-09-23,30,Junior
EMP-00020,Jonathan Wilkerson,Pharmacy Technician,ST-0005,2024-03-07,40,Mid
EMP-00021,Charles Mcgee,Pharmacy Technician,ST-0005,2025-07-18,25,Mid
EMP-00022,Kevin Hurst,Pharmacy Technician,ST-0005,2023-03-03,20,Senior
EMP-00023,Zachary Taylor,Pharmacist,ST-0006,2024-10-08,30,Mid
EMP-00024,Anthony Rodriguez,Pharmacist,ST-0006,2019-02-05,30,Mid
EMP-00025,Jennifer Brown,Pharmacist,ST-0006,2022-11-13,35,Junior
EMP-00026,Julie King,Pharmacist,ST-0006,2025-10-14,40,Mid
EMP-00027,Alexandra Le,Pharmacist,ST-0006,2025-07-05,40,Senior
EMP-00028,Patricia Peterson,Pharmacy Technician,ST-0006,2021-05-14,35,Senior
EMP-00029,Jesse Mckay,Pharmacy Technician,ST-0006,2020-11-08,20,Junior
EMP-00030,Pamela Romero,Pharmacy Technician,ST-0006,2018-03-09,20,Junior
EMP-00031,Elizabeth Fowler,Pharmacy Technician,ST-0006,2019-10-04,30,Junior
EMP-00032,Phillip Ryan,Pharmacy Technician,ST-0006,2025-05-25,40,Mid
EMP-00033,Linda Burns,Pharmacy Technician,ST-0006,2018-04-12,30,Mid
EMP-00034,Sherry Decker,Pharmacist,ST-0007,2021-08-09,25,Senior
EMP-00035,David Bradley,Pharmacist,ST-0007,2017-09-18,20,Senior
EMP-00036,John Jones,Pharmacist,ST-0007,2025-06-09,40,Junior
EMP-00037,Betty Alvarez,Pharmacy Technician,ST-0007,2025-09-23,20,Senior
EMP-00038,Joseph Obrien,Pharmacy Technician,ST-0007,2019-12-24,40,Mid
EMP-00039,Nicole Vaughn,Pharmacy Technician,ST-0007,2021-09-04,40,Junior
EMP-00040,Michael Brooks,Pharmacy Technician,ST-0007,2025-03-07,30,Junior
EMP-00041,David Brown,Pharmacy Technician,ST-0007,2016-09-24,40,Mid
EMP-00042,Crystal Robinson,Pharmacist,ST-0008,2017-08-01,30,Junior
EMP-00043,Amy Jones,Pharmacist,ST-0008,2016-11-28,30,Junior
EMP-00044,Andrea Young,Pharmacist,ST-0008,2024-08-19,40,Mid
EMP-00045,Carlos Walls,Pharmacist,ST-0008,2026-02-02,40,Mid
EMP-00046,Dana Kennedy,Pharmacy Technician,ST-0008,2023-04-20,25,Mid
EMP-00047,Brent Jordan,Pharmacy Technician,ST-0008,2023-08-01,40,Mid
EMP-00048,Scott Brown,Pharmacy Technician,ST-0008,2018-01-18,40,Mid
EMP-00049,Nicholas Mcbride,Pharmacy Technician,ST-0008,2018-03-26,35,Mid
EMP-00050,Connor West,Pharmacy Technician,ST-0008,2023-07-21,20,Junior
EMP-00051,Joel Baxter,Pharmacy Technician,ST-0008,2017-08-28,20,Mid
EMP-00052,Scott Pierce,Pharmacist,ST-0009,2017-03-27,30,Mid
EMP-00053,Kimberly Smith,Pharmacist,ST-0009,2017-12-17,40,Junior
EMP-00054,Sarah Martin,Pharmacy Technician,ST-0009,2024-08-20,30,Mid
EMP-00055,Dr. Steven Martin,Pharmacy Technician,ST-0009,2016-05-30,25,Junior
EMP-00056,Mrs. Rachel Gibson,Pharmacy Technician,ST-0009,2023-07-28,30,Junior
EMP-00057,Monica Logan,Pharmacy Technician,ST-0009,2024-08-27,40,Senior
EMP-00058,Edward Novak,Pharmacy Technician,ST-0009,2026-03-24,35,Senior
EMP-00059,Amy Edwards,Pharmacist,ST-0010,2017-03-24,40,Junior
EMP-00060,Kathryn Farrell,Pharmacist,ST-0010,2019-01-20,40,Mid
EMP-00061,Jordan York,Pharmacist,ST-0010,2017-07-16,40,Senior
EMP-00062,Megan Young,Pharmacist,ST-0010,2018-05-31,30,Junior
EMP-00063,Laura Riley,Pharmacy Technician,ST-0010,2017-01-18,25,Mid
EMP-00064,Jennifer Silva,Pharmacy Technician,ST-0010,2025-04-08,40,Senior
EMP-00065,Dean Santiago,Pharmacy Technician,ST-0010,2021-09-20,20,Mid
EMP-00066,James Powers,Pharmacy Technician,ST-0010,2021-06-24,30,Junior
EMP-00067,Timothy Walls,Pharmacy Technician,ST-0010,2016-07-13,25,Junior
EMP-00068,Zachary Ferrell,Pharmacy Technician,ST-0010,2017-08-15,40,Junior
EMP-00069,Katie Anderson,Pharmacy Technician,ST-0010,2022-04-24,35,Mid
EMP-00070,Sherry Wood,Pharmacy Technician,ST-0010,2019-01-22,30,Senior
EMP-00071,Joshua Turner,Pharmacist,ST-0011,2025-05-16,40,Junior
EMP-00072,Robert Evans,Pharmacist,ST-0011,2018-02-19,35,Junior
EMP-00073,Brandy Wilson,Pharmacist,ST-0011,2018-03-13,30,Junior
EMP-00074,Brittney Campbell,Pharmacist,ST-0011,2019-12-16,35,Mid
EMP-00075,Christina Walters,Pharmacy Technician,ST-0011,2020-11-12,20,Junior
EMP-00076,Danielle Odonnell,Pharmacy Technician,ST-0011,2017-03-28,40,Junior
EMP-00077,Jeff Hill,Pharmacy Technician,ST-0011,2016-06-08,25,Mid
EMP-00078,Carlos Whitney,Pharmacy Technician,ST-0011,2019-02-15,40,Junior
